,Tokens,Tagged Sentence
418,"['In', 'September', ',', '13', 'Ubinas', 'presented', 'similar', 'episodes', ',', 'but', 'of', 'lesser', 'magnitude', '.']","['O', 'O', 'O', 'O', 'B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
419,"['Stay', 'informed', 'at', 'all', 'times', 'of', 'volcanic', 'activity', 'in', 'the', 'Ubinas', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'O']"
420,"['In', 'recent', 'decades', ',', 'eruptive', 'processes', 'have', 'been', 'observed', 'on', 'Ubinas', 'and', 'Sabancaya', 'volcanoes', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'O', 'O', 'O', 'O']"
421,"['Another', 'photo', 'opportunity', 'is', 'at', 'the', 'Mirador', 'de', 'Volcanes', 'where', 'you', 'can', 'admire', 'Sabancaya', ',', 'Hualca', 'Hualca', ',', 'Misti', ',', 'Chachani', 'and', 'Pichu', 'Pichu', 'volcanoes', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'B-MOUNTAIN', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O']"
422,"['The', 'spectacular', 'drive', 'to', 'Colca', 'will', 'have', 'you', 'glued', 'to', 'your', 'window', 'as', 'you', 'drive', 'through', 'two', 'skirts', 'of', 'volcanoes', '-', 'Chachani', 'and', 'Pichu', 'Pichu', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O']"
423,"['Their', 'names', 'bear', 'a', 'mythical', 'burden', ',', 'Misti', ',', 'Chachani', 'and', 'Pichu', 'Pichu', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O']"
424,"['Close', 'to', 'the', 'summit', 'of', 'Mount', 'Elbrus', 'with', 'Bangladesh', 'flag', '.']","['O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O']"
425,"['At', 'the', 'end', 'of', 'October', '2013', ',', 'in', 'parallel', 'to', 'the', 'main', 'Relay', ',', 'an', 'Olympic', 'flame', 'reached', 'the', 'highest', 'point', 'of', 'Mount', 'Elbrus', ',', 'where', 'a', 'cauldron', 'was', 'lit', '5,652m', 'above', 'sea', 'level', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
426,"['Special', 'Operations', 'groups', 'had', 'to', 'show', 'what', 'they', 'are', 'capable', 'of', 'when', 'dealing', 'with', 'bad', 'guys', 'and', 'climb', 'a', 'number', 'of', 'peaks', 'around', 'Mount', 'Elbrus', 'carrying', 'full', '60', 'lb', '(', '27.2', 'kg', ')', 'backpacks', 'and', 'holding', 'assault', 'rifles', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
427,"['The', 'highest', 'peak', 'is', 'the', 'Pico', 'de', 'Orizaba', 'which', 'is', '5700', 'meters', 'high', '.']","['O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O']"
428,"['El', 'Pico', 'de', 'Orizaba', 'attracts', 'a', 'large', 'number', 'of', 'international', 'climbers', 'every', 'year', '.']","['O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
429,"['We', 'will', 'use', 'the', 'volcanoes', 'Iztaccíhuatl', 'as', 'well', 'as', 'El', 'Pico', 'de', 'Orizaba', 'to', 'work', 'with', 'you', 'so', 'you', 'can', 'combine', 'every', 'skills', 'of', 'every', 'mountain', 'courses', 'of', 'Attitude', 'Montagne', '.']","['O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
430,"['Mount', 'Damavand', 'Piste', 'Map/', 'Trail', 'Map×']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O']"
431,"['The', 'lake', 'is', '84', 'km', 'northeast', 'of', 'Tehran', ',', 'and', 'due', 'to', 'its', 'proximity', 'to', 'Mount', 'Damavand', 'it', 'creates', 'a', 'cool', 'and', 'pleasant', 'climate', 'as', 'well', 'as', 'beautiful', 'landscapes', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
432,"['(', 'use', 'stars', 'to', 'vote', ')', 'Mount', 'Damavand']","['O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN']"
433,"['GEOGRAPHY', 'NOTE', ':', 'Peru', 'shares', 'control', 'of', 'Lake', 'Titicaca', '(', 'with', 'Bolivia', ')', ',', 'the', 'world', ""'s"", 'highest', 'navigable', 'lake', ';', 'product', 'of', 'a', 'remote', 'slope', 'of', 'Nevado', 'Mismi', '-', 'a', '5316m/17440ft', 'peak', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O']"
434,"['Interesting', 'facts', 'about', 'Peru', ':', 'The', 'final', 'source', 'of', 'the', 'Amazon', 'River', 'is', 'a', 'stream', 'on', 'a', '5,597', 'meter', 'peak', 'called', 'Nevado', 'Mismi', 'in', 'southern', 'Peru', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O']"
435,"['In', '2001', ',', 'Brazilian', 'scientists', 'measured', 'the', 'length', 'from', 'the', 'most', 'distant', 'officially', 'recognized', 'source', 'Nevado', 'Mismi', ',', 'and', 'came', 'to', 'the', 'conclusion', 'that', 'the', 'length', 'of', 'the', 'Amazon', 'is', '6', 'km', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
436,"['The', 'chalet', 'captures', 'the', 'gorgeous', 'sight', 'of', 'the', 'symbolic', 'guardian', 'of', 'Lijiang', ',', 'the', 'Jade', 'Dragon', 'Snow', 'Mountain', ',', 'and', 'numerous', 'fields', 'with', 'yellow', 'flowers', 'in', 'the', 'surrounding', 'under', 'its', 'guidance', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'I-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
437,"['Adventurous', 'travellers', 'have', 'traced', 'these', 'paths', 'under', 'the', 'shadow', 'of', 'Jade', 'Dragon', 'Snow', 'Mountain', 'for', 'more', 'than', 'a', 'millennium', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'I-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O']"
438,"['Around', '9', 'miles', '(', '15', 'km', ')', 'in', 'length', ',', 'the', 'gorge', 'is', 'located', 'where', 'the', 'river', 'passes', 'between', 'the', '18,360', 'foot', '(', '5,596m', ')', 'Jade', 'Dragon', 'Snow', 'Mountain', 'and', 'the', '17,703', 'ft', '(', '5,396', 'metres', ')', 'Haba', 'Snow', 'Mountain', 'in', 'a', 'series', 'of', 'rapids', 'under', 'steep', 'cliffs', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'I-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
439,"['This', 'study', ',', 'focused', 'on', 'Lascar', 'volcano', '(', 'North', 'Chile', ')', 'and', 'regional', 'basement', 'had', 'two', 'main', 'objectives', ':', '1', ')', 'to', 'better', 'understand', 'its', 'recent', 'activity', 'from', 'ground', 'deformations', 'and', '2', ')', 'to', 'investigate', 'its', 'internal', 'structure', 'and', 'relationships', 'with', 'local', 'tectonics', '.']","['O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
440,"['Heading', 'the', 'next', 'day', 'to', 'Kala', 'Patthar', ',', 'with', 'its', 'elevation', 'of', '5,675', 'meters', ',', 'was', 'also', 'off', 'the', 'agenda', '.']","['O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
441,"['Helicopter', 'fly', 'out', 'from', 'Gorakhshep/', 'Kala', 'Patthar']","['O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN']"
442,"['After', 'several', 'hours', 'of', 'ascent', ',', 'we', 'will', 'be', 'on', 'the', 'top', 'of', 'Kala', 'Patthar', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O']"
443,"['For', 'the', 'rise', 'of', 'the', 'mount', 'Saint', 'Elias', '(', 'Sveti', 'Ilija', ')', ',', 'to', 'leave', 'Orebić', 'towards', 'the', 'north', 'and', 'the', 'hamlet', 'of', 'Urkunići', '.']","['O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
444,"['Wrangell', '-', 'St.', 'Elias', 'This', 'mountainous', 'land', 'has', 'the', 'convergence', 'of', 'the', 'Alaska', ',', 'Chugach', ',', 'and', 'Wrangell-Saint', 'Elias', 'Ranges', ',', 'which', 'have', 'many', 'of', 'the', 'continent', ""'s"", 'tallest', 'mountains', 'over', '16,000', 'feet', '(', '4,900', 'including', 'Mount', 'Saint', 'Elias', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'I-MOUNTAIN', 'O']"
445,"['Indeed', ',', 'one', 'name', 'for', 'Mount', 'Carmel', 'is', 'جبل', 'مار', 'إلياس', '(', 'Jabal', 'Mar', 'Elyas', ';', 'Mount', 'Saint', 'Elias', ')', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O']"
446,"['On', 'the', 'other', 'hand', ',', 'if', 'what', 'you', 'wish', 'is', 'El', 'plomo', ',', 'the', 'lead', ',', 'then', 'do', 'that', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
447,"['Parent', 'range', 'Andes', 'Cerro', 'El', 'Plomo', 'is', 'a', 'mountain', 'located', 'in', 'the', 'Andes', 'near', 'Santiago', ',', 'Chile', '.']","['O', 'O', 'O', 'B-MOUNTAIN', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
448,"['On', 'the', 'other', 'hand', ',', 'if', 'what', 'you', 'wish', 'is', 'el', 'plomo', ',', 'the', 'lead', ',', 'then', 'do', 'that', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
449,"['He', 'is', 'an', 'active', 'IFMGA', 'guide', 'and', 'has', 'taken', 'clients', 'to', 'the', 'summits', 'of', 'Bogda', 'Feng', ',', 'Ama', 'Dablam', ',', 'Cho', 'Oyu', 'and', 'Everest', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O']"
450,"['Fay', 'Glacier', 'is', 'developed', 'between', 'Mount', 'Babel', ',', 'Mount', 'Fay', ',', 'Mount', 'Little', 'and', 'Mount', 'Bowlen', '.']","['O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
451,"['Cerro', 'El', 'Pital', 'is', 'the', 'highest', 'summit', 'in', 'El', 'Salvador', 'with', '2730', 'metres', '.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
452,"['Cerro', 'El', 'Pital', 'can', 'be', 'seen', 'under', 'the', 'clouds', 'cover', '.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
453,"['At', 'the', 'historical', 'level', ',', 'the', 'fumarolic', 'deposits', 'of', 'the', 'crater', 'of', 'Popocatépetl', 'had', 'an', 'essential', 'role', 'in', 'the', 'conquest', 'of', 'Mexico', 'by', 'the', 'Spanish', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
454,"['The', 'surveillance', 'of', 'Popocatépetl', 'volcano', 'is', 'carried', 'out', 'continuously', '24', 'hours', 'a', 'day', '.']","['O', 'O', 'O', 'B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
455,"['Start', 'your', 'review', 'of', 'Plaza', 'Popocatépetl', '.']","['O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'O']"
456,"['Like', 'Chacaltaya', ',', 'more', 'than', '40', '%', 'of', 'the', 'glaciers', 'are', 'retreating', ',', 'in', 'other', 'words', ',', 'they', 'are', 'gradually', 'melting', ',', 'leaving', 'rock', 'where', 'there', 'was', 'once', 'ice', 'and', 'snow', '.']","['O', 'B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
457,"['While', 'visiting', 'Bolivia', ',', 'be', 'sure', 'to', 'visit', 'also', 'the', 'ancient', 'ruins', 'of', 'Tiwanaku', 'and', 'the', 'world', ""'s"", 'highest', 'ski', 'resort', 'in', 'Chacaltaya', 'that', 'is', 'also', 'a', 'good', 'destination', 'for', 'mountaineering', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
458,"['Chacaltaya', ',', 'commonly', 'referred', 'to', 'as', 'the', '``', 'highest', 'ski', 'resort', 'in', 'the', 'world', ',', ""''"", 'is', 'located', 'a', 'short', 'distance', 'from', 'La', 'Paz', '.']","['B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
459,"['Climbers', 'risk', 'their', 'lives', 'when', 'they', 'enter', 'the', 'death', 'zone', 'on', 'Mount', 'Everest', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O']"
460,"['Among', 'all', 'the', 'mountains', ',', 'Mount', 'Everest', 'is', 'the', 'hugest', 'in', 'the', 'world', '.']","['O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
461,"['Ritacuba', 'Blanco', 'is', 'the', 'highest', 'peak', 'of', 'Cordillera', 'Oriental', ',', 'in', 'the', 'Andes', 'Mountains', 'of', 'Colombia', '.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
462,"['It', ""'s"", 'also', 'named', ""Ritak'uwa"", ',', 'an', 'ancient', 'name', 'from', 'the', ""U'wa"", 'indigenous', 'people', 'that', 'live', 'in', 'the', 'lowlands', 'of', 'the', 'National', 'Park', 'Sierra', 'Nevada', 'del', 'Cocuy', 'y', 'Güicán', ',', 'where', 'the', 'Ritacuba', 'Blanco', 'is', 'located', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O']"
463,"['In', '1950', ',', 'Ritacuba', 'Blanco', ""'s"", 'glacier', 'extended', 'down', 'to', '4,500', 'metres', '(', '14,800', 'ft', ')', 'above', 'sea', 'level', ';', 'in', 'January', '2007', 'its', 'lowest', 'point', 'was', 'at', '4,800', 'metres', '(', '15,700', 'ft', ')', 'above', 'sea', 'level', '.']","['O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
464,"['With', 'the', 'small', ',', 'multicolored', 'flags', ',', 'floating', 'in', 'the', 'air', ',', 'that', 'adorn', 'most', 'of', 'the', 'places', 'of', 'worship', ',', 'the', 'monumental', 'mountains', 'of', 'Haba', 'Xueshan', 'that', 'surround', 'the', 'city', 'with', 'their', 'snowy', 'peaks', 'are', 'intoxicating', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
465,"['Many', 'lessons', 'have', 'been', 'learned', 'from', 'the', 'Nevado', 'del', 'Ruiz', 'and', 'Armero', 'tragedy', ',', 'particularly', 'with', 'regards', 'to', 'communication', 'and', 'funding', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
466,"['Residents', 'living', 'near', 'Nevado', 'del', 'Ruiz', 'are', 'advised', 'to', 'stay', 'vigilant', 'of', 'any', 'changes', 'in', 'the', 'volcano', ""'s"", 'activity', 'and', 'to', 'report', 'any', 'ashfall', '.']","['O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
467,"['The', 'Nevado', 'del', 'Ruiz', 'volcano', 'continues', 'at', 'the', 'level', 'of', 'yellow', 'activity', '.']","['O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
468,"['The', 'Colombian', 'press', 'indicates', 'that', 'the', 'authorities', 'raised', 'Nevado', 'del', 'Huila', ""'s"", 'alert', 'code', 'to', 'Orange', 'after', 'an', 'increased', 'level', 'of', 'volcanic', 'activity', 'was', 'detected', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
469,"['The', 'calculated', 'flow', 'was', '1298', 't/', 'day', ',', 'dispersed', 'to', 'the', 'north-west', 'side', 'of', 'the', 'Nevado', 'del', 'Huila', 'volcano', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O']"
470,"['The', 'source', 'of', 'this', 'seismicity', 'is', 'located', 'northeast', 'of', 'the', 'Nevado', 'del', 'Huila', 'volcano', ',', 'at', 'distances', 'between', '10', 'and', '20', 'kilometers', 'and', 'at', 'depths', 'between', '5', 'and', '15', 'kilometers', ',', 'compared', 'to', 'the', 'altitude', 'of', '4530', 'meters', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
471,"['Nearby', 'notable', 'mountains', 'are', 'Chimborazo', '(', '6,310', 'm', ')', 'and', 'El', 'Altar', '(', '5,319', 'm', ')', '.']","['O', 'O', 'O', 'O', 'B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O']"
472,"['Sangay', 'is', 'a', 'massive', 'park', 'of', '2710', 'sq', 'km', 'where', 'three', 'of', 'the', 'most', 'magnificent', 'country', ""'s"", 'volcanoes', 'are', 'found', ';', 'Tungurahua', 'Volcano', 'at', '5016', 'metres', ',', 'El', 'Altar', 'at', '5319', 'metres', ',', 'and', 'Sangay', 'at', '5230', 'metres', '.']","['B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'O', 'O', 'O', 'O']"
473,"['HOTEL', 'EL', 'ALTAR', 'Riobamba', 'Located', 'in', 'Riobamba', ',', 'HOTEL', 'EL', 'ALTAR', 'is', 'convenient', 'to', 'Olympic', 'Stadium', 'and', '21st', 'of', 'April', 'Park', '.']","['O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
474,"['Mount', 'Foraker', 'is', 'a', '17,400-foot', '(', '5,304', 'm', ')', 'mountain', 'in', 'the', 'central', 'Alaska', 'Range', ',', 'in', 'Denali', 'National', 'Park', ',', '14', 'mi', '(', '23', 'km', ')', 'southwest', 'of', 'Denali', '.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
475,"['2001', 'Infinite', 'Spur', ',', 'Mount', 'Foraker', ',', 'Alaska', 'Range', ',', 'Alaska', ',', 'USA', '.']","['O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
476,"['1934', 'West', 'Ridge', 'FA', 'of', 'Mount', 'Foraker', 'by', 'Charles', 'Houston', ',', 'T.', 'Graham', 'Brown', 'and', 'Chychele', 'Waterston', '.']","['O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
477,"['Thomas', 'Montgomerie', 'made', 'the', 'first', 'survey', 'of', 'the', 'Karakoram', 'from', 'Mount', 'Haramukh', ',', 'some', '210', 'km', '(', '130', 'miles', ')', 'to', 'the', 'south', ',', 'and', 'sketched', 'the', 'two', 'most', 'prominent', 'peaks', ',', 'labeling', 'them', 'K1', 'and', 'K2', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'O']"
